City,Date,PM2.5,PM10,NO,NO2,CO,SO2,O3,AQI,AQI_Bucket
Bengaluru,2017-04-18,38.46,66.4,4.73,24.41,0.44,5.07,91.3,77.0,Satisfactory
Bengaluru,2017-04-19,38.13,84.63,6.11,25.49,0.52,4.74,81.46,92.0,Satisfactory
Bengaluru,2017-04-20,29.75,56.29,5.45,24.78,0.43,4.71,47.22,81.0,Satisfactory
Bengaluru,2017-04-21,21.53,80.41,4.21,24.41,0.47,4.71,54.16,75.0,Satisfactory
Bengaluru,2017-04-22,25.46,62.1,4.85,22.79,0.45,4.83,24.41,64.0,Satisfactory
Bengaluru,2017-04-24,34.85,85.36,2.65,32.57,0.0,3.49,21.33,59.0,Satisfactory
Bengaluru,2017-04-25,29.88,108.62,3.54,31.4,0.19,3.52,27.0,66.0,Satisfactory
Bengaluru,2017-04-26,33.95,110.88,4.52,42.65,0.7,3.86,48.16,92.0,Satisfactory
Bengaluru,2017-04-27,40.01,100.72,7.39,38.94,0.67,5.61,27.84,87.0,Satisfactory
Bengaluru,2017-04-28,62.07,84.02,4.72,32.77,0.49,4.4,61.69,96.0,Satisfactory
Bengaluru,2017-04-30,13.3,111.3,9.57,45.34,0.46,5.04,22.75,65.0,Satisfactory
Bengaluru,2017-05-01,20.32,80.58,6.21,31.84,0.39,4.82,39.36,77.0,Satisfactory
Bengaluru,2017-05-02,24.2,78.44,8.2,41.08,0.35,4.88,24.89,60.0,Satisfactory
Bengaluru,2017-05-03,66.24,87.15,10.17,35.96,0.48,6.26,21.17,84.0,Satisfactory
Bengaluru,2017-05-04,42.2,90.14,12.03,43.35,0.47,5.54,17.45,94.0,Satisfactory
Bengaluru,2017-05-05,28.27,85.96,8.55,42.47,0.62,5.76,6.19,80.0,Satisfactory
Bengaluru,2017-05-06,40.02,92.31,7.67,37.46,0.49,5.88,17.855,89.0,Satisfactory
Bengaluru,2017-05-07,30.26,76.29,6.46,29.37,0.4,5.31,29.52,98.0,Satisfactory
Bengaluru,2017-05-08,27.66,57.56,6.67,31.17,0.43,4.16,52.55,82.0,Satisfactory
Bengaluru,2017-05-09,32.01,57.82,4.81,31.86,0.23,3.67,33.71,69.0,Satisfactory
Bengaluru,2017-05-11,28.52,35.51,5.81,39.12,0.42,8.55,36.74,53.0,Satisfactory
Bengaluru,2017-05-12,50.58,62.09,5.9,23.23,0.52,15.38,10.9,68.0,Satisfactory
Bengaluru,2017-05-15,14.94,50.05,5.02,26.57,0.52,3.52,38.46,52.0,Satisfactory
Bengaluru,2017-05-16,19.1,65.84,3.8,29.5,0.36,3.83,34.53,56.0,Satisfactory
Bengaluru,2017-05-17,22.93,65.3,3.62,26.74,0.38,3.73,45.09,67.0,Satisfactory
Bengaluru,2017-05-18,36.58,59.73,4.78,27.92,0.66,3.32,13.13,70.0,Satisfactory
Bengaluru,2017-05-19,20.87,45.38,5.6,32.01,0.56,3.49,21.6,64.0,Satisfactory
Bengaluru,2017-05-21,12.53,50.36,8.01,34.15,0.37,3.51,23.31,59.0,Satisfactory
Bengaluru,2017-05-23,25.83,63.33,8.79,37.11,0.41,3.57,20.05,58.0,Satisfactory
Bengaluru,2017-05-24,19.58,58.26,5.7,30.27,0.33,3.77,26.67,62.0,Satisfactory
Bengaluru,2017-05-25,21.39,59.53,6.42,29.53,0.38,3.75,16.72,57.0,Satisfactory
Bengaluru,2017-05-26,24.85,69.0,6.67,26.78,0.41,3.65,11.46,66.0,Satisfactory
Bengaluru,2017-06-01,22.79,59.56,5.31,31.62,0.68,4.57,10.13,54.0,Satisfactory
Bengaluru,2017-06-02,20.19,60.05,5.35,32.25,0.35,3.89,8.69,52.0,Satisfactory
Bengaluru,2017-06-06,22.93,49.92,4.85,30.17,0.85,3.86,7.92,54.0,Satisfactory
Bengaluru,2017-06-08,20.75,75.64,3.35,25.47,0.59,4.56,14.64,51.0,Satisfactory
Bengaluru,2017-06-09,23.65,82.24,5.32,27.84,0.65,4.59,19.12,55.0,Satisfactory
Bengaluru,2017-06-10,19.78,91.96,7.02,31.35,0.61,4.87,19.88,54.0,Satisfactory
Bengaluru,2017-06-11,16.51,77.75,7.41,30.97,0.54,4.72,19.08,51.0,Satisfactory
Bengaluru,2017-06-14,19.77,95.84,6.27,29.47,0.63,4.24,21.06,59.0,Satisfactory
Bengaluru,2017-06-15,24.56,112.8,7.97,31.52,0.87,4.74,20.85,76.0,Satisfactory
Bengaluru,2017-06-16,24.66,89.59,9.56,31.25,0.62,5.71,18.43,65.0,Satisfactory
Bengaluru,2017-06-17,24.18,87.23,7.17,30.54,0.56,4.36,20.06,60.0,Satisfactory
Bengaluru,2017-06-18,17.82,92.85,3.68,26.38,0.63,5.21,9.1,57.0,Satisfactory
Bengaluru,2017-06-20,24.03,90.54,3.55,25.75,0.61,6.85,7.75,53.0,Satisfactory
Bengaluru,2017-06-21,19.58,110.37,3.13,30.5,0.6,7.44,13.04,70.0,Satisfactory
Bengaluru,2017-06-22,21.05,71.41,3.57,26.66,0.62,5.8,8.43,60.0,Satisfactory
Bengaluru,2017-06-23,24.53,38.64,9.1,30.26,0.58,7.02,13.82,54.0,Satisfactory
Bengaluru,2017-06-24,25.35,123.16,19.79,45.04,0.55,6.42,10.04,60.0,Satisfactory
Bengaluru,2017-06-25,25.16,89.68,17.58,39.31,0.56,5.68,7.84,71.0,Satisfactory
Bengaluru,2017-06-27,37.61,111.77,13.6,38.89,0.83,6.63,8.39,78.0,Satisfactory
Bengaluru,2017-06-28,37.34,97.49,10.09,34.73,0.6,6.63,8.99,82.0,Satisfactory
Bengaluru,2017-06-29,36.44,78.38,12.12,31.89,0.42,6.62,9.92,76.0,Satisfactory
Bengaluru,2017-06-30,35.4,107.39,15.16,33.89,0.69,6.63,10.32,76.0,Satisfactory
Bengaluru,2017-07-01,25.33,129.55,24.27,39.99,0.67,7.11,11.34,92.0,Satisfactory
Bengaluru,2017-07-03,25.82,93.48,43.48,68.34,0.69,6.23,10.21,92.0,Satisfactory
Bengaluru,2017-07-04,26.71,82.18,20.75,32.27,0.59,5.81,9.67,85.0,Satisfactory
Bengaluru,2017-07-05,27.6,87.64,17.99,30.38,0.62,4.7,8.98,93.0,Satisfactory
Bengaluru,2017-07-06,28.49,79.21,13.97,27.42,0.52,3.82,9.26,87.0,Satisfactory
Bengaluru,2017-07-11,29.38,88.16,17.23,29.5,0.64,4.09,12.44,78.0,Satisfactory
Bengaluru,2017-07-12,27.64,76.48,12.48,26.82,0.68,5.16,18.42,67.0,Satisfactory
Bengaluru,2017-07-13,28.97,95.74,16.61,30.58,1.53,4.45,24.82,74.0,Satisfactory
Bengaluru,2017-07-14,22.68,96.47,13.31,30.3,0.67,5.41,47.62,72.0,Satisfactory
Bengaluru,2017-07-15,22.43,112.32,16.15,32.43,0.6,7.9,47.14,82.0,Satisfactory
Bengaluru,2017-07-16,17.2,98.67,13.34,31.1,0.52,6.3,23.82,61.0,Satisfactory
Bengaluru,2017-07-17,21.05,110.36,11.56,30.06,0.58,4.72,44.94,68.0,Satisfactory
Bengaluru,2017-07-18,18.45,82.75,12.68,29.79,0.62,4.58,27.09,68.0,Satisfactory
Bengaluru,2017-07-19,16.44,66.58,18.77,31.75,0.68,4.71,30.16,60.0,Satisfactory
Bengaluru,2017-07-20,31.68,87.62,16.76,31.34,0.65,5.1,54.5,61.0,Satisfactory
Bengaluru,2017-07-26,23.68,105.63,9.88,30.53,0.59,4.73,51.12,85.0,Satisfactory
Bengaluru,2017-07-27,24.49,95.5,10.99,31.02,0.59,5.17,55.9,83.0,Satisfactory
Bengaluru,2017-07-30,22.36,91.72,11.51,29.57,1.07,4.67,23.6,94.0,Satisfactory
Bengaluru,2017-07-31,27.27,90.24,8.0,28.65,0.48,5.23,45.36,89.0,Satisfactory
Bengaluru,2017-08-04,13.74,62.14,10.46,25.64,0.63,5.89,25.85,55.0,Satisfactory
Bengaluru,2017-08-09,22.31,92.2,14.25,29.38,0.95,5.12,33.6,74.0,Satisfactory
Bengaluru,2017-08-11,10.11,71.85,14.03,32.5,0.68,4.06,16.65,56.0,Satisfactory
Bengaluru,2017-08-13,4.69,116.59,16.42,32.78,1.14,4.6,23.74,67.0,Satisfactory
Bengaluru,2017-08-14,19.41,115.3,12.81,32.52,0.96,4.92,26.54,82.0,Satisfactory
Bengaluru,2017-08-15,20.88,68.12,14.75,29.7,0.64,5.4,7.35,70.0,Satisfactory
Bengaluru,2017-08-16,17.91,60.6,7.34,24.95,1.01,5.43,20.51,65.0,Satisfactory
Bengaluru,2017-08-17,18.42,78.23,5.51,29.56,1.25,4.51,21.86,70.0,Satisfactory
Bengaluru,2017-08-18,14.92,57.1,7.89,30.9,0.61,4.3,21.39,64.0,Satisfactory
Bengaluru,2017-08-19,18.66,53.12,9.13,27.62,0.68,4.7,20.13,57.0,Satisfactory
Bengaluru,2017-08-20,10.89,61.8,16.11,29.64,1.02,4.93,11.17,63.0,Satisfactory
Bengaluru,2017-08-22,18.87,89.66,11.4,26.93,0.89,5.08,20.89,63.0,Satisfactory
Bengaluru,2017-08-23,18.18,75.76,9.12,26.59,0.85,4.21,27.15,62.0,Satisfactory
Bengaluru,2017-08-24,59.05,66.25,11.58,27.01,0.71,4.66,21.84,68.0,Satisfactory
Bengaluru,2017-08-26,14.19,72.62,9.51,26.25,0.97,4.61,19.83,91.0,Satisfactory
Bengaluru,2017-08-29,16.33,100.74,15.67,28.51,1.01,4.79,14.98,57.0,Satisfactory
Bengaluru,2017-08-30,20.42,90.87,10.24,26.31,0.85,4.85,16.33,56.0,Satisfactory
Bengaluru,2017-08-31,24.96,111.68,7.86,26.74,0.77,5.48,24.66,69.0,Satisfactory
Bengaluru,2017-09-04,39.74,85.24,15.95,30.16,0.77,4.65,23.83,74.0,Satisfactory
Bengaluru,2017-09-05,14.2,98.1,13.44,28.6,1.34,5.28,23.99,79.0,Satisfactory
Bengaluru,2017-09-07,9.57,100.44,14.26,30.93,0.7,5.62,12.5,60.0,Satisfactory
Bengaluru,2017-09-08,32.86,72.73,11.97,30.75,0.91,4.7,34.54,75.0,Satisfactory
Bengaluru,2017-09-10,14.52,93.49,31.66,39.24,0.68,5.96,9.66,57.0,Satisfactory
Bengaluru,2017-09-11,15.27,115.56,24.71,42.37,0.73,6.18,9.5,68.0,Satisfactory
Bengaluru,2017-09-12,17.48,104.51,16.21,39.09,0.73,5.45,11.3,68.0,Satisfactory
Bengaluru,2017-09-13,16.5,108.42,12.07,34.8,0.67,4.68,12.87,59.0,Satisfactory
Bengaluru,2017-09-14,14.05,90.68,9.17,29.42,0.94,4.4,28.38,63.0,Satisfactory
Bengaluru,2017-09-15,8.58,71.81,11.34,31.38,0.58,4.68,18.53,52.0,Satisfactory
Bengaluru,2017-09-20,10.21,81.53,6.9,28.47,0.47,5.14,25.61,52.0,Satisfactory
Bengaluru,2017-09-21,12.64,80.51,7.32,28.19,0.38,5.16,24.16,51.0,Satisfactory
Bengaluru,2017-09-22,17.93,80.49,6.28,27.46,0.35,4.89,28.96,51.0,Satisfactory
Bengaluru,2017-09-23,21.62,91.14,10.16,30.95,0.4,5.3,41.31,76.0,Satisfactory
Bengaluru,2017-09-24,23.7,112.5,15.23,35.09,0.49,6.04,29.38,76.0,Satisfactory
Bengaluru,2017-09-25,19.26,53.18,8.88,29.23,0.4,5.49,24.14,57.0,Satisfactory
Bengaluru,2017-09-26,22.47,76.88,8.48,29.13,0.48,4.76,27.37,65.0,Satisfactory
Bengaluru,2017-09-27,28.3,50.86,15.29,38.34,0.57,6.16,7.85,83.0,Satisfactory
Bengaluru,2017-09-28,21.59,90.26,4.57,24.81,0.32,4.63,21.6,56.0,Satisfactory
Bengaluru,2017-09-29,22.36,71.25,7.58,29.64,0.5,5.13,8.95,58.0,Satisfactory
Bengaluru,2017-09-30,30.65,68.52,7.05,26.24,0.45,5.74,29.89,61.0,Satisfactory
Bengaluru,2017-10-01,20.01,57.46,5.63,27.01,0.38,4.53,21.92,66.0,Satisfactory
Bengaluru,2017-10-02,20.5,46.54,38.94,25.68,0.52,5.64,34.02,69.0,Satisfactory
Bengaluru,2017-10-03,22.85,63.75,6.46,25.43,0.49,4.49,29.93,62.0,Satisfactory
Bengaluru,2017-10-06,24.73,55.39,8.58,28.49,0.6,5.66,28.31,80.0,Satisfactory
Bengaluru,2017-10-07,29.16,70.61,9.98,26.77,0.58,4.55,21.99,70.0,Satisfactory
Bengaluru,2017-10-09,26.08,71.87,9.19,25.0,1.35,5.2,20.43,83.0,Satisfactory
Bengaluru,2017-10-11,22.5,62.71,14.24,31.64,0.64,4.38,34.99,79.0,Satisfactory
Bengaluru,2017-10-12,27.29,54.56,10.47,30.86,0.57,4.2,22.7,71.0,Satisfactory
Bengaluru,2017-10-13,24.83,52.24,10.69,30.63,0.5,4.49,14.59,61.0,Satisfactory
Bengaluru,2017-10-14,32.61,44.65,10.09,28.07,0.48,4.64,9.9,67.0,Satisfactory
Bengaluru,2017-10-15,40.34,50.86,14.0,34.04,0.46,4.22,13.39,73.0,Satisfactory
Bengaluru,2017-10-16,21.63,76.61,9.41,29.07,0.43,4.05,15.03,58.0,Satisfactory
Bengaluru,2017-10-17,27.86,118.88,14.4,35.25,0.55,4.37,17.23,64.0,Satisfactory
Bengaluru,2017-10-18,39.39,188.67,18.27,41.73,0.62,4.81,27.54,98.0,Satisfactory
Bengaluru,2017-10-19,44.66,147.94,12.47,32.42,0.57,4.39,34.64,98.0,Satisfactory
Bengaluru,2017-10-22,22.44,118.74,8.29,31.05,0.79,5.32,28.1,79.0,Satisfactory
Bengaluru,2017-10-23,26.85,123.41,9.24,33.32,1.08,5.39,33.95,80.0,Satisfactory
Bengaluru,2017-10-24,42.56,176.27,15.76,44.63,1.26,5.62,27.3,94.0,Satisfactory
Bengaluru,2017-10-25,35.29,134.15,16.44,43.04,1.59,4.42,20.57,96.0,Satisfactory
Bengaluru,2017-10-26,25.49,88.04,17.04,39.14,1.22,4.26,12.69,75.0,Satisfactory
Bengaluru,2017-10-27,26.03,87.11,13.99,36.53,1.03,4.26,19.69,66.0,Satisfactory
Bengaluru,2017-10-28,37.38,91.81,15.78,39.18,1.55,4.97,32.07,80.0,Satisfactory
Bengaluru,2017-10-29,47.47,100.35,15.01,39.01,1.08,4.3,36.67,98.0,Satisfactory
Bengaluru,2017-11-05,26.7,29.28,14.87,29.05,0.69,3.33,17.19,59.0,Satisfactory
Bengaluru,2017-11-07,27.98,42.42,13.12,33.64,0.82,3.51,7.02,68.0,Satisfactory
Bengaluru,2017-11-08,26.89,40.08,13.32,33.43,0.86,2.98,13.74,54.0,Satisfactory
Bengaluru,2017-11-09,25.94,66.25,12.3,37.65,0.97,3.26,30.46,70.0,Satisfactory
Bengaluru,2017-11-10,31.21,51.65,9.12,30.19,0.9,2.76,24.08,75.0,Satisfactory
Bengaluru,2017-11-11,32.87,77.14,10.67,36.09,0.99,3.99,30.86,77.0,Satisfactory
Bengaluru,2017-11-12,26.99,72.0,10.11,36.27,0.86,3.85,14.76,69.0,Satisfactory
Bengaluru,2017-11-13,30.4,57.77,9.61,32.51,0.74,3.68,43.16,65.0,Satisfactory
Bengaluru,2017-11-14,26.94,65.86,8.67,30.57,0.91,4.15,37.68,68.0,Satisfactory
Bengaluru,2017-11-15,30.7,66.28,5.9,27.55,0.93,3.88,39.31,66.0,Satisfactory
Bengaluru,2017-11-16,37.93,78.07,9.59,34.47,0.95,4.34,34.31,76.0,Satisfactory
Bengaluru,2017-11-17,35.72,71.36,5.76,30.34,0.89,3.97,37.48,81.0,Satisfactory
Bengaluru,2017-11-18,34.96,63.17,8.73,36.57,0.71,3.59,19.28,64.0,Satisfactory
Bengaluru,2017-11-19,30.66,59.05,11.02,39.44,0.92,3.76,15.11,68.0,Satisfactory
Bengaluru,2017-11-20,32.21,58.7,10.9,36.61,0.91,3.59,17.27,62.0,Satisfactory
Bengaluru,2017-11-21,25.79,41.37,12.88,34.1,0.89,3.83,3.14,60.0,Satisfactory
Bengaluru,2017-11-22,44.84,46.73,12.04,37.02,0.85,3.36,15.6,65.0,Satisfactory
Bengaluru,2017-11-23,38.07,63.39,11.09,42.75,0.98,4.05,28.57,87.0,Satisfactory
Bengaluru,2017-11-24,17.64,80.23,12.17,46.1,0.95,3.89,29.13,82.0,Satisfactory
Bengaluru,2017-11-25,17.81,81.86,15.43,50.65,0.94,3.81,38.5,72.0,Satisfactory
Bengaluru,2017-11-26,15.67,69.67,15.31,48.12,0.9,3.75,35.73,69.0,Satisfactory
Bengaluru,2017-11-27,10.7,57.05,16.9,47.51,0.92,3.82,24.36,58.0,Satisfactory
Bengaluru,2017-11-28,11.46,65.13,15.56,50.06,0.93,3.95,22.54,58.0,Satisfactory
Bengaluru,2017-11-29,197.41,64.65,11.01,39.39,0.77,3.99,23.71,82.0,Satisfactory
Bengaluru,2017-11-30,74.5,36.84,10.38,32.3,0.97,4.12,19.73,68.0,Satisfactory
Bengaluru,2017-12-01,1.76,19.23,8.52,31.43,0.65,3.23,4.11,53.0,Satisfactory
Bengaluru,2017-12-03,32.42,69.73,13.43,42.05,0.86,2.16,8.9,54.0,Satisfactory
Bengaluru,2017-12-04,18.72,71.86,13.35,42.47,0.86,2.58,24.47,68.0,Satisfactory
Bengaluru,2017-12-05,11.27,63.98,12.38,40.08,0.7,3.02,12.45,63.0,Satisfactory
Bengaluru,2017-12-06,93.7,92.18,12.0,44.52,0.89,4.86,12.844166666666666,83.0,Satisfactory
Bengaluru,2017-12-07,70.22,77.97,15.06,47.64,1.27,4.42,13.238333333333333,96.0,Satisfactory
Bengaluru,2017-12-12,100.59666666666666,85.6,7.87,33.87,0.57,3.84,13.6325,86.0,Satisfactory
Bengaluru,2017-12-13,130.97333333333333,93.92,10.44,39.02,0.79,3.72,14.026666666666666,75.0,Satisfactory
Bengaluru,2017-12-14,161.35,73.5,16.43,43.69,0.94,3.71,14.420833333333333,86.0,Satisfactory
Bengaluru,2017-12-17,79.75,69.56,12.25,48.64,0.89,3.56,14.815,100.0,Satisfactory
Bengaluru,2017-12-22,71.71,58.04,11.41,142.35,0.95,3.32,15.209166666666667,93.0,Satisfactory
Bengaluru,2017-12-23,56.14,60.26,10.11,61.7,0.9,3.55,15.603333333333333,91.0,Satisfactory
Bengaluru,2017-12-24,48.78,38.57,3.71,31.49,0.69,2.29,15.997499999999999,70.0,Satisfactory
Bengaluru,2017-12-25,159.52,45.31,4.58,29.62,0.71,2.78,16.391666666666666,91.0,Satisfactory
Bengaluru,2017-12-27,73.7,87.05,6.4,44.73,0.91,3.4,16.785833333333333,99.0,Satisfactory
Bengaluru,2017-12-29,32.57,74.48,10.82,48.73,1.13,3.6,17.18,85.0,Satisfactory
Bengaluru,2017-12-30,26.74,70.68,10.05,42.6,1.06,3.26,33.48,77.0,Satisfactory
Bengaluru,2017-12-31,18.29,59.11,11.9,41.94,1.02,2.95,32.36,72.0,Satisfactory
Bengaluru,2018-01-01,38.06,74.54,9.91,42.23,1.04,3.2,25.89,73.0,Satisfactory
Bengaluru,2018-01-02,35.12,78.63,7.16,41.7,1.0,3.37,24.78,86.0,Satisfactory
Bengaluru,2018-01-03,28.84,69.71,9.57,50.19,1.09,2.8,35.27,84.0,Satisfactory
Bengaluru,2018-01-04,24.57,80.05,6.77,46.14,0.96,3.32,46.62,86.0,Satisfactory
Bengaluru,2018-01-05,24.31,93.29,7.99,52.5,1.04,5.34,51.89,95.0,Satisfactory
Bengaluru,2018-01-08,34.88,77.23,5.06,46.38,0.93,4.26,76.84,93.0,Satisfactory
Bengaluru,2018-01-09,28.74,76.89,6.83,43.41,0.96,16.6,70.18,84.0,Satisfactory
Bengaluru,2018-01-10,31.37,71.0,6.82,29.81,0.89,3.16,54.29,75.0,Satisfactory
Bengaluru,2018-01-11,54.32,63.45,11.14,45.27,0.96,4.91,37.03,76.0,Satisfactory
Bengaluru,2018-01-15,38.84,100.57,5.56,33.96,0.89,3.35,66.4,98.0,Satisfactory
Bengaluru,2018-01-16,41.35,99.23,7.45,41.68,0.92,3.47,59.88,92.0,Satisfactory
Bengaluru,2018-01-17,46.76,101.11,6.61,37.47,0.92,3.58,64.8,98.0,Satisfactory
Bengaluru,2018-01-18,37.73,103.52,6.75,39.62,1.01,3.66,65.34,100.0,Satisfactory
Bengaluru,2018-01-22,39.03,119.95,3.95,34.14,1.14,4.24,77.88,96.0,Satisfactory
Bengaluru,2018-01-26,39.28,117.17,4.06,32.42,0.94,4.24,63.78,98.0,Satisfactory
Bengaluru,2018-01-29,33.47,114.19,4.67,36.21,1.05,4.17,55.34,94.0,Satisfactory
Bengaluru,2018-01-30,53.56,115.21,4.15,32.79,0.99,3.89,56.31,99.0,Satisfactory
Bengaluru,2018-02-01,33.99,106.5,9.03,49.14,1.08,5.01,41.2,94.0,Satisfactory
Bengaluru,2018-02-03,28.81,104.97,4.62,33.25,1.04,6.48,46.48,88.0,Satisfactory
Bengaluru,2018-02-04,23.31,99.74,4.32,32.25,0.93,12.74,42.53,87.0,Satisfactory
Bengaluru,2018-02-05,29.23,94.58,5.35,32.53,0.95,3.37,40.8,81.0,Satisfactory
Bengaluru,2018-02-06,32.55,98.75,3.97,29.05,0.89,3.52,40.51,85.0,Satisfactory
Bengaluru,2018-02-07,30.93,95.75,5.67,30.04,0.94,3.22,25.11,79.0,Satisfactory
Bengaluru,2018-02-08,35.48,87.19,13.58,45.34,1.1,4.2,27.4,80.0,Satisfactory
Bengaluru,2018-02-09,37.87,96.52,7.72,43.01,1.01,4.36,30.91,95.0,Satisfactory
Bengaluru,2018-02-10,30.34,84.89,8.37,39.51,0.99,6.63,25.27,83.0,Satisfactory
Bengaluru,2018-02-11,28.29,96.63,5.06,23.84,0.88,3.42,38.11,76.0,Satisfactory
Bengaluru,2018-02-12,27.9,88.93,5.34,24.85,0.98,2.99,32.61,74.0,Satisfactory
Bengaluru,2018-02-13,30.53,55.15,3.37,17.2,1.01,1.84,44.28,78.0,Satisfactory
Bengaluru,2018-02-14,32.43,68.55,3.69,17.59,0.96,1.61,38.23,71.0,Satisfactory
Bengaluru,2018-02-15,30.19,59.31,3.96,18.7,0.96,1.47,35.76,71.0,Satisfactory
Bengaluru,2018-02-16,29.62,53.91,6.66,30.03,0.98,2.79,36.38,70.0,Satisfactory
Bengaluru,2018-02-17,32.11,70.68,8.19,37.85,1.03,8.54,43.4,77.0,Satisfactory
Bengaluru,2018-02-18,27.53,64.77,3.13,22.89,0.95,5.69,49.17,83.0,Satisfactory
Bengaluru,2018-02-19,28.6,62.32,3.48,26.23,1.05,4.22,51.46,82.0,Satisfactory
Bengaluru,2018-02-20,28.89,66.18,2.78,22.48,1.09,3.15,55.88,81.0,Satisfactory
Bengaluru,2018-02-21,34.62,79.69,5.45,32.97,0.98,3.36,52.95,80.0,Satisfactory
Bengaluru,2018-02-22,37.13,64.91,7.04,39.61,0.95,3.19,52.15,82.0,Satisfactory
Bengaluru,2018-02-23,34.6,71.15,3.84,31.9,0.94,2.94,52.09,83.0,Satisfactory
Bengaluru,2018-02-24,26.41,56.42,3.63,19.98,0.96,2.35,35.76,81.0,Satisfactory
Bengaluru,2018-02-25,21.87,33.81,3.17,14.46,0.92,2.34,37.55,69.0,Satisfactory
Bengaluru,2018-02-26,21.31,25.9,7.96,27.46,1.01,2.61,30.2,68.0,Satisfactory
Bengaluru,2018-02-27,23.35,30.13,7.4,26.31,0.94,3.87,32.51,71.0,Satisfactory
Bengaluru,2018-02-28,29.3,56.03,7.13,32.9,1.04,3.4,31.63,81.0,Satisfactory
Bengaluru,2018-03-01,29.48,99.47,4.8,27.41,0.95,3.09,36.47,83.0,Satisfactory
Bengaluru,2018-03-02,30.38,116.47,4.88,38.24,0.98,3.53,45.24,87.0,Satisfactory
Bengaluru,2018-03-03,38.39,121.49,6.26,36.26,1.0,3.14,43.82,92.0,Satisfactory
Bengaluru,2018-03-04,36.56,128.58,3.02,24.85,1.02,4.2,44.8,84.0,Satisfactory
Bengaluru,2018-03-05,30.79,94.71,7.78,34.44,1.02,3.71,36.83,86.0,Satisfactory
Bengaluru,2018-03-06,32.09,109.19,5.78,32.76,0.96,3.85,33.61,87.0,Satisfactory
Bengaluru,2018-03-07,33.88,114.17,3.4,25.14,0.98,3.83,46.63,90.0,Satisfactory
Bengaluru,2018-03-08,41.37,125.36,4.18,27.15,1.08,3.66,40.31,99.0,Satisfactory
Bengaluru,2018-03-12,35.82,105.52,3.16,17.43,1.05,4.01,38.92,92.0,Satisfactory
Bengaluru,2018-03-13,20.49,63.71,4.21,14.01,1.14,4.08,20.48,76.0,Satisfactory
Bengaluru,2018-03-14,29.23,85.74,3.6,16.94,1.15,4.17,38.25,75.0,Satisfactory
Bengaluru,2018-03-15,26.46,54.8,8.41,22.08,1.15,3.95,26.5,77.0,Satisfactory
Bengaluru,2018-03-16,19.13,33.54,7.07,28.79,1.03,3.88,23.65,71.0,Satisfactory
Bengaluru,2018-03-17,23.01,33.85,5.6,27.98,1.02,4.27,26.48,74.0,Satisfactory
Bengaluru,2018-03-18,20.75,33.52,3.76,16.69,1.09,3.39,20.61,53.0,Satisfactory
Bengaluru,2018-03-19,31.94,57.31,4.22,24.94,0.97,3.33,50.57,61.0,Satisfactory
Bengaluru,2018-03-20,43.91,70.07,4.42,35.38,1.49,3.26,46.5,97.0,Satisfactory
Bengaluru,2018-03-24,37.72,141.77,4.06,27.94,0.82,3.61,58.64,100.0,Satisfactory
Bengaluru,2018-03-25,38.84,113.42,4.49,27.43,1.05,3.59,54.78,98.0,Satisfactory
Bengaluru,2018-03-26,29.345000000000002,94.3,6.77,35.66,0.67,5.17,64.14,100.0,Satisfactory
Bengaluru,2018-03-27,19.85,72.36,7.68,34.2,0.78,6.99,73.5,87.0,Satisfactory
Bengaluru,2018-04-03,22.1275,100.63,9.49,40.15,1.15,3.91,72.83818181818182,98.0,Satisfactory
Bengaluru,2018-04-09,24.405,67.05,5.04,23.57,0.7,3.34,72.17636363636363,93.0,Satisfactory
Bengaluru,2018-04-12,26.6825,64.13,5.74,26.2,0.9,3.24,71.51454545454546,88.0,Satisfactory
Bengaluru,2018-04-13,28.96,57.17,5.8,25.44,0.98,3.56,70.85272727272728,65.0,Satisfactory
Bengaluru,2018-04-14,29.45,60.06,4.67,22.0,0.96,3.8,70.19090909090909,62.0,Satisfactory
Bengaluru,2018-04-15,29.94,57.83,3.99,16.94,0.67,3.42,69.52909090909091,65.0,Satisfactory
Bengaluru,2018-04-16,30.43,55.0,5.41,19.09,0.69,3.01,68.86727272727272,61.0,Satisfactory
Bengaluru,2018-04-17,32.38,61.9,7.83,27.27,0.87,2.74,68.20545454545454,70.0,Satisfactory
Bengaluru,2018-04-18,36.4,69.46,6.2,30.93,0.96,2.73,67.54363636363637,67.0,Satisfactory
Bengaluru,2018-04-19,47.67,79.33,4.34,27.36,0.91,6.9,66.88181818181818,81.0,Satisfactory
Bengaluru,2018-04-20,36.52,60.94,8.43,32.2,0.85,2.28,66.22,85.0,Satisfactory
Bengaluru,2018-04-21,33.4,84.17,7.43,37.81,0.9,2.7,74.47666666666666,79.0,Satisfactory
Bengaluru,2018-04-22,33.42,75.88,3.64,19.6,0.78,3.94,82.73333333333333,74.0,Satisfactory
Bengaluru,2018-04-23,41.19,60.47,4.23,19.98,0.8,3.94,90.99,66.0,Satisfactory
Bengaluru,2018-04-24,42.62,77.31,6.45,29.87,0.82,4.05,55.89,82.0,Satisfactory
Bengaluru,2018-04-25,42.99,58.32,9.48,53.65,0.98,4.06,49.01,74.0,Satisfactory
Bengaluru,2018-04-26,49.93,62.20647058823529,3.29,24.84,0.85,5.71,46.4,83.0,Satisfactory
Bengaluru,2018-04-28,39.22,66.09294117647059,3.52,21.73,0.91,5.54,40.12,82.0,Satisfactory
